iteration,time,result
6793658,3600.369490623474,46153789020964
6793659,3600.3700070381165,46153802608281
6793660,3600.370526075363,46153816195600
6793661,3600.3710963726044,46153829782921
6793662,3600.3716163635254,46153843370244
6793663,3600.372134447098,46153856957569
6793664,3600.3726527690887,46153870544896
6793665,3600.3731727600098,46153884132225
6793666,3600.3737387657166,46153897719556
6793667,3600.374266386032,46153911306889
6793668,3600.374784231186,46153924894224
6793669,3600.3753011226654,46153938481561
6793670,3600.375823497772,46153952068900
6793671,3600.376339673996,46153965656241
6793672,3600.376858472824,46153979243584
6793673,3600.377464532852,46153992830929
6793674,3600.377991914749,46154006418276
6793675,3600.3785076141357,46154020005625
6793676,3600.3790225982666,46154033592976
6793677,3600.3795421123505,46154047180329
6793678,3600.38006067276,46154060767684
6793679,3600.3805782794952,46154074355041
6793680,3600.3810951709747,46154087942400
6793681,3600.381660223007,46154101529761
6793682,3600.38218665123,46154115117124
6793683,3600.382704973221,46154128704489
6793684,3600.383220911026,46154142291856
6793685,3600.3837378025055,46154155879225
6793686,3600.3842544555664,46154169466596
6793687,3600.3847711086273,46154183053969
6793688,3600.3852882385254,46154196641344
6793689,3600.3858046531677,46154210228721
6793690,3600.386323928833,46154223816100
6793691,3600.386839866638,46154237403481
6793692,3600.3874773979187,46154250990864
6793693,3600.3880050182343,46154264578249
6793694,3600.3885214328766,46154278165636
6793695,3600.3890392780304,46154291753025
6793696,3600.3895795345306,46154305340416
6793697,3600.39013171196,46154318927809
6793698,3600.390648126602,46154332515204
6793699,3600.3911650180817,46154346102601
6793700,3600.3916828632355,46154359690000
6793701,3600.392197370529,46154373277401
6793702,3600.3927149772644,46154386864804
6793703,3600.393234014511,46154400452209
6793704,3600.393750667572,46154414039616
6793705,3600.3942699432373,46154427627025
6793706,3600.394786834717,46154441214436
6793707,3600.3953013420105,46154454801849
6793708,3600.39581656456,46154468389264
6793709,3600.396334886551,46154481976681
6793710,3600.3968513011932,46154495564100
6793711,3600.3974483013153,46154509151521
6793712,3600.3980309963226,46154522738944
6793713,3600.398557662964,46154536326369
6793714,3600.3990721702576,46154549913796
6793715,3600.399589061737,46154563501225
6793716,3600.400104045868,46154577088656
6793717,3600.400619506836,46154590676089
6793718,3600.401136159897,46154604263524
6793719,3600.401656150818,46154617850961
6793720,3600.402174472809,46154631438400
6793721,3600.4026947021484,46154645025841
